part.jns_resp|Jenis Responden|1. Laki-laki, 2.Perempuan tercatat hamil, 3. Prm tdk hamil
kai.kai06[idart]|PB Lahir dari ingatan|30-60,98

kim.kim01[idart]|Apakah di dalam KMS / Buku KIA / Buku Catatan Kesehatan Anak ada catatan imunisasi?|1.Ya 2.Tidak
---Salin dari KMS / Buku KIA / Catatan Kesehatan Anak, tanggal/bulan/tahun untuk setiap jenis imunisasi
kim.kim02a1[idart]|Hepatitis B 0|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02a2[idart]|Tanggal imunisasi|tgl
kim.kim02b1[idart]|BCG|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02b2[idart]|Tanggal imunisasi|tgl
kim.kim02c1[idart]|DPT HB Combo 1|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02c2[idart]|Tanggal imunisasi|tgl
kim.kim02d1[idart]|DPT HB Combo 2|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02d2[idart]|Tanggal imunisasi|tgl
kim.kim02e1[idart]|DPT HB Combo 3|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02e2[idart]|Tanggal imunisasi|tgl
kim.kim02f1[idart]|Polio 1|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02f2[idart]|Tanggal imunisasi|tgl
kim.kim02g1[idart]|Polio 2|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02g2[idart]|Tanggal imunisasi|tgl
kim.kim02h1[idart]|Polio 3|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02h2[idart]|Tanggal imunisasi|tgl
kim.kim02i1[idart]|Polio 4|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02i2[idart]|Tanggal imunisasi|tgl
kim.kim02j1[idart]|Campak|1.Diberikan Imunisasi, 2.Tidak diberikan Imunisasi, 7.Belum waktunya diberikan karena umur anak, 8.Ditulis diberi tetapi tanggal/bulan/tahun tidak ada
kim.kim02j2[idart]|Tanggal imunisasi|tgl
---Apakah pernah mendapatkan imunisasi berikut ?
kim.kim03a[idart]|Imunisasi Hepatitis B-0|1.Ya, 2.Tidak, 98.Tidak Tahu
kim.kim03b[idart]|Pada umur berapa diimunisasi Hepatitis B-0?|1.0-24jam, 2.24jam-7hari, 98. Tidak Tahu
kim.kim03c[idart]|Imunisasi BCG|1.Ya, 2.Tidak, 98.Tidak Tahu
kim.kim03d[idart]|Pada umur berapa diimunisasi BCG?|1.0-29hari, 2.>1bulan, 98.Tidak Tahu
kim.kim03e[idart]|Imunisasi Polio|1.Ya, 2.Tidak, 7.Belum waktunya, 98.Tidak Tahu
kim.kim03f[idart]|Pada umur berapa diimunisasi Polio?|number, 98
kim.kim03g[idart]|Berapa kali diimunisasi Polio|1-10,98
kim.kim03h[idart]|Imunisasi DPT-HB Combo|1.Ya, 2.Tidak, 7.Belum waktunya, 98.Tidak Tahu
kim.kim03i[idart]|Pada umur berapa hari diimunisasi DPT-HB Combo?|1-99,98
kim.kim03j[idart]|Berapa kali diimunisasi DPT-HB Combo?|1-9,98
kim.kim03k[idart]|Imunisasi Campak|1.Ya, 2.Tidak, 7.Belum waktunya, 98.Tidak Tahu
---Jumlah Imunisasi yang diterima berdasarkan KIM02 dan KIM03
kim.jumlahkim01[idart]|BCG|0-1
kim.jumlahkim02[idart]|Polio|0-4
kim.jumlahkim03[idart]|DPT-HB|0-3
kim.jumlahkim04[idart]|Campak|0-1
kim.kim04[idart]|Apa alasan utama imunisasi tidak lengkap?|1.Takut anak menjadi panas, 2.Anak sering sakit, 3.Vaksin tidak tersedia, 4.Petugas tidak datang, 5.Tempat imunisasi jauh, 6.Sibuk / repot, 7.Belum waktunya lengkap (umur < 9 bulan), 95.Lainnya, 98.Tidak Tahu
kim.kim04l[idart]|Alasan lainnya|text
kim.kim05[idart]|Apakah setelah mendapat imunisasi pernah mengalami keluhan Kejadian Ikutan Pasca Imunisasi (KIPI)|1.Ya, 2.Tidak
kim.kim0501[idart]|1.Demam Ringan|true,false
kim.kim0502[idart]|2.Demam Tinggi|true,false
kim.kim0503[idart]|3.Bengkak|true,false
kim.kim0504[idart]|4.Kemerahan|true,false
kim.kim0505[idart]|5.Bernanah|true,false
kim.kim0506[idart]|6.Lainnya|true,false
kim.kim0506l[idart]|Jika kim05 = 1(ya)|text
kim.kim06[idart]|Apakah dalam 6 bulan terakhir ditimbang?|1.Ya. 2.Tidak, 98.Tidak Tahu
kim.kim07[idart]|Dalam 6 bulan terakhir, berapa kali ditimbang ?|1-200,98
kim.kim08[idart]|Apakah alasan utama mengapa dalam 6 bulan terakhir tidak pernah ditimbang?|1.Anak sudah besar (>1 tahun), 2.Anak sudah selesai imunisasi, 3.Anak tidak mau ditimbang, 4.Bosan jika hanya ditimbang, 5.Lupa / tidak tahu jadwalnya, 6.Tidak ada tempat penimbangan, 7.Tempatnya jauh, 8.Sibuk / repot, 9.Malas, 95.Lainnya, 98.Tidak Tahu
kim.kim08l[idart]|alasan lain tidak ditimbang|text
kim.kim09[idart]|Apakah dalam 6 bulan terakhir, pernah mendapatkan kapsul vitamin A?|1.Ya, 2.Tidak, 7.Belum waktunya(umur < 6 bulan), 98.Tidak Tahu
kim.kim09next[idart]|Apakah ART berusian 0-23 bulan?|1.Ya, 2.Tidak
asm.asm01[idart]|Apakah pernah disusui atau diberi ASI oleh ibu kandungnya?|1.Ya. 2.Tidak, 98.Tidak Tahu
asm.asm02[idart]|Apakah sebelum disusui pertama kali atau sebelum ASI keluar / lancar, pernah diberi minuman (cairan) atau makanan selain ASI?|1.Ya. 2.Tidak, 98.Tidak Tahu
---Apa jenis makanan / minuman yang pernah diberikan sebelum mulai disusui atau sebelum ASI keluar / lancar?
asm.asm03a[idart]|A.Susu Formula|true,false
asm.asm03b[idart]|B.Susu non-formula|true,false
asm.asm03c[idart]|C.Madu / Madu + air|true,false
asm.asm03d[idart]|D.Air gula, air tajin|true,false
asm.asm03e[idart]|E.Air kelapa|true,false
asm.asm03f[idart]|F.Kopi|true,false
asm.asm03g[idart]|G.Teh Manis|true,false
asm.asm03h[idart]|H.Air putih|true,false
asm.asm03i[idart]|I.Bubur tepung / Bubur saring|true,false
asm.asm03j[idart]|J.Pisang dihaluskan|true,false
asm.asm03k[idart]|K.Nasi dihaluskan|true,false
asm.asm04[idart]|Apakah saat ini masih disusui?|1.Ya, 2.Tidak
asm.asm05[idart]|Pada umur berapa bulan disapih / mulai tidak disusui lagi?|0-99,98
asm.asm06[idart]|Apakah dalam 24 jam terakhir hanya mendapatkan air susu ibu (ASI) saja dan tidak diberi minuman (cairan) dan atau makanan selain ASI?|1.Ya, 2.Tidak
asm.asm07[idart]|Pada saat umur berapa, IBU pertama kali memberikan minuman (cairan) atau makan setelah ASI?|1.0-7 hari, 2.7-28 hari, 3.9 hari - < 2 bulan, 4.2 - < 3 bulan, 5.3 - < 4 bulan, 6.4 - < 6 bulan, 7. > 6 bulan, 98.TIdak Tahu
---Apa jenis minuman (cairan) atau makanan selain ASI, yang pertama kali diberikan pada umur tersebut?
asm.asm08a[idart]|A.Susu Formula|true,false
asm.asm0ba[idart]|B.Susu non-formula|true,false
asm.asm08c[idart]|C.Bubur formula|true,false
asm.asm08d[idart]|D.Biscuit|true,false
asm.asm08e[idart]|E.Bubur tepung/ bubur saring|true,false
asm.asm08f[idart]|F.Air Tajin|true,false
asm.asm08g[idart]|G.Pisang dihaluskan|true,false
asm.asm08h[idart]|H.Bubur nasi / nasi tim / nasi dihaluskan|true,false
asm.asm08i[idart]|I.Lainnya|true,false
asm.asm08k[idart]|K.Tidak tahu|true,false
asm.asm08ilainnya[idart]|Lainnya sebutkan|text
asm.asm09[idart]|Apakah pernah menggunakan botol/dot/kempengan sebelum usia 6 bulan?|1.Ya. 2.Tidak, 98.Tidak Tahu
